size,quick bst,merge bst,quick avg,merge avg,quick worst,merge worst
64000,0,0,15670000,0,0,15711000
64100,0,0,15722000,0,15908000,0
64200,0,15877000,0,0,5585000,10079000
64300,0,15865000,0,15629000,5582000,10130000
64400,0,5594000,10085000,16062000,15717000,0
64500,15717000,0,0,5592000,0,0
64600,15852000,0,15715000,0,10003000,0
64700,5588000,0,10091000,15726000,15716000,0
64800,5595000,10083000,0,15895000,15713000,0
64900,15713000,0,0,5589000,15972000,0
65000,16270000,0,0,15715000,15172000,0
65100,5585000,10093000,16118000,0,0,0
65200,0,10093000,16036000,0,0,5595000
65300,0,0,5582000,10078000,0,15708000
65400,0,0,15710000,0,10086000,15959000
65500,0,10076000,16091000,0,0,0
65600,0,0,5093000,10092000,0,15714000
65700,0,0,5598000,10078000,0,15712000
65800,0,0,15716000,0,0,16051000
65900,0,0,15843000,0,5595000,0
66000,0,0,15675000,0,15715000,0
66100,0,15705000,0,0,15551000,0
66200,0,0,15707000,0,16158000,0
66300,0,0,16287000,0,5088000,0
66400,0,0,15686000,0,0,15712000
66500,0,0,15712000,0,16200000,0
66600,0,0,15629000,0,0,16161000
66700,0,0,15905000,0,5588000,10079000
66800,0,0,15685000,0,15715000,0
66900,0,0,15714000,0,16296000,0
67000,10085000,0,15835000,0,0,5590000
67100,10089000,0,15912000,0,0,5591000
67200,0,0,5591000,10088000,0,15720000
67300,0,0,15710000,0,10085000,16084000
67400,10089000,0,15910000,0,0,5587000
67500,0,10090000,15864000,0,0,0
67600,15708000,0,5593000,10091000,16049000,0
67700,15946000,0,0,15720000,15680000,0
67800,0,5594000,10085000,15738000,15708000,0
67900,0,15717000,0,0,15614000,0
68000,0,0,15716000,0,0,15919000
68100,10079000,0,16041000,0,0,5593000
68200,0,0,5584000,10087000,0,0
68300,16064000,0,15714000,0,10085000,0
68400,16030000,0,15640000,0,10086000,0
68500,5091000,10089000,0,16345000,15712000,0
68600,0,15712000,0,5599000,16114000,0
68700,0,16620000,0,15711000,5082000,10082000
68800,0,5588000,10077000,344000,15713000,0
68900,0,5587000,10097000,0,15715000,0
69000,0,0,15713000,0,0,15961000
69100,0,10086000,15900000,0,0,5582000
69200,15635000,0,5594000,10081000,16024000,0
69300,0,15538000,0,15720000,15924000,0
69400,10002000,0,15929000,0,0,5578000
69500,15717000,0,5587000,10087000,15951000,0
69600,16030000,0,0,15713000,15673000,0
69700,0,0,15675000,0,0,15705000
69800,0,0,5585000,10083000,0,15705000
