array_size,best_time,worst_time,avg_time
97000,10.393543,10.927149,10.446406
97200,10.682688,11.219501,10.440035
97400,10.759384,11.164514,10.888693
97600,10.660584,11.167311,10.424920
97800,10.436736,10.982808,10.350922
98000,10.348510,11.050941,10.653036
98200,10.447704,10.856947,10.530935
98400,10.572146,10.909368,10.473311
98600,10.962038,12.237857,10.422509
98800,10.762076,11.388623,10.866608
99000,10.655657,11.295325,10.640720
99200,11.286640,11.968385,10.761005
99400,10.402650,11.019272,10.649881
99600,10.758889,11.606532,10.688839
99800,12.116472,12.983985,11.892770
100000,10.801454,11.312872,10.534468
