array_size,best_time,worst_time,avg_time
90800,0.000360,11.985418,0.004113
91000,0.000314,10.817472,0.003366
91200,0.000364,11.316557,0.003020
91400,0.000365,11.256229,0.002473
91600,0.000237,11.205358,0.003121
91800,0.000319,11.684587,0.002029
92000,0.000317,11.784303,0.003654
92200,0.000236,10.818520,0.003321
92400,0.000319,11.624433,0.002844
92600,0.000322,11.172900,0.002804
92800,0.000243,10.772898,0.002297
93000,0.000446,12.509361,0.002914
93200,0.000416,11.943752,0.003467
93400,0.000415,11.571569,0.002932
93600,0.000363,11.652236,0.002285
93800,0.000431,11.645484,0.002086
94000,0.000375,11.593891,0.002509
94200,0.000340,11.755821,0.002496
94400,0.000422,12.398709,0.003034
94600,0.000413,12.228161,0.003008
94800,0.000383,11.912932,0.003102
95000,0.000345,11.239078,0.002586
95200,0.000328,12.826641,0.002886
95400,0.000387,11.984389,0.002947
95600,0.000385,12.912442,0.002399
95800,0.000383,12.470459,0.003284
96000,0.000413,12.448482,0.003109
96200,0.000396,11.939915,0.003276
96400,0.000252,13.361450,0.004301
96600,0.000371,12.899355,0.003134
96800,0.000391,13.078465,0.004772
97000,0.000379,13.514357,0.003131
97200,0.000246,12.731229,0.002665
97400,0.000528,14.555511,0.003519
97600,0.000390,12.913781,0.002400
97800,0.000443,13.076405,0.002076
98000,0.000366,12.751414,0.003229
98200,0.000393,13.319322,0.002697
98400,0.000415,13.231966,0.003175
98600,0.000432,13.154257,0.002982
98800,0.000375,13.158340,0.002104
99000,0.000442,13.465365,0.003851
99200,0.000243,13.487786,0.003744
99400,0.000377,13.324277,0.003157
99600,0.000556,13.211197,0.003062
99800,0.000259,14.512913,0.003496
100000,0.000502,13.744632,0.003206
